REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
68,dm_unscreened,29.4,19.9,38.9,Proportion,"29.4 (19.9, 38.9)",172,,NA,Uttarakhand,5,Hardwar
68,dm_undiagnosed,48.6,39.6,57.6,Proportion,"48.6 (39.6, 57.6)",172,,NA,Uttarakhand,5,Hardwar
69,dm_unscreened,17.1,6.7,27.5,Proportion,"17.1 (6.7, 27.5)",197,,NA,Haryana,6,Panchkula
69,dm_undiagnosed,62.5,50.4,74.5,Proportion,"62.5 (50.4, 74.5)",197,,NA,Haryana,6,Panchkula
70,dm_unscreened,35.1,24.9,45.4,Proportion,"35.1 (24.9, 45.4)",273,,NA,Haryana,6,Ambala
70,dm_undiagnosed,54.7,44.4,64.9,Proportion,"54.7 (44.4, 64.9)",273,,NA,Haryana,6,Ambala
71,dm_unscreened,29.5,21.6,37.3,Proportion,"29.5 (21.6, 37.3)",330,,NA,Haryana,6,Yamunanagar
71,dm_undiagnosed,46.4,38.3,54.6,Proportion,"46.4 (38.3, 54.6)",330,,NA,Haryana,6,Yamunanagar
72,dm_unscreened,16.4,9.9,22.9,Proportion,"16.4 (9.9, 22.9)",307,,NA,Haryana,6,Kurukshetra
72,dm_undiagnosed,32.7,24.7,40.6,Proportion,"32.7 (24.7, 40.6)",307,,NA,Haryana,6,Kurukshetra
73,dm_unscreened,33.9,21.2,46.7,Proportion,"33.9 (21.2, 46.7)",159,,NA,Haryana,6,Kaithal
73,dm_undiagnosed,62.6,49.8,75.4,Proportion,"62.6 (49.8, 75.4)",159,,NA,Haryana,6,Kaithal
74,dm_unscreened,17,11.6,22.4,Proportion,"17 (11.6, 22.4)",202,,NA,Haryana,6,Karnal
74,dm_undiagnosed,42.2,34.7,49.7,Proportion,"42.2 (34.7, 49.7)",202,,NA,Haryana,6,Karnal
75,dm_unscreened,23.9,17.2,30.6,Proportion,"23.9 (17.2, 30.6)",251,,NA,Haryana,6,Panipat
75,dm_undiagnosed,41.9,29.8,53.9,Proportion,"41.9 (29.8, 53.9)",251,,NA,Haryana,6,Panipat
76,dm_unscreened,33.3,25.4,41.1,Proportion,"33.3 (25.4, 41.1)",200,,NA,Haryana,6,Sonipat
76,dm_undiagnosed,52.9,43.8,62,Proportion,"52.9 (43.8, 62)",200,,NA,Haryana,6,Sonipat
77,dm_unscreened,39.3,31.9,46.8,Proportion,"39.3 (31.9, 46.8)",175,,NA,Haryana,6,Jind
77,dm_undiagnosed,71.4,62.7,80.1,Proportion,"71.4 (62.7, 80.1)",175,,NA,Haryana,6,Jind
78,dm_unscreened,38.8,29.7,47.9,Proportion,"38.8 (29.7, 47.9)",202,,NA,Haryana,6,Fatehabad
78,dm_undiagnosed,69.8,61.6,78.1,Proportion,"69.8 (61.6, 78.1)",202,,NA,Haryana,6,Fatehabad
79,dm_unscreened,36.9,25.2,48.6,Proportion,"36.9 (25.2, 48.6)",204,,NA,Haryana,6,Sirsa
79,dm_undiagnosed,45.7,34.1,57.3,Proportion,"45.7 (34.1, 57.3)",204,,NA,Haryana,6,Sirsa
80,dm_unscreened,23.3,15.5,31,Proportion,"23.3 (15.5, 31)",256,,NA,Haryana,6,Hisar
80,dm_undiagnosed,34.6,24.8,44.3,Proportion,"34.6 (24.8, 44.3)",256,,NA,Haryana,6,Hisar
82,dm_unscreened,10.7,5.1,16.4,Proportion,"10.7 (5.1, 16.4)",284,,NA,Haryana,6,Rohtak
82,dm_undiagnosed,24.7,15.3,34.2,Proportion,"24.7 (15.3, 34.2)",284,,NA,Haryana,6,Rohtak
83,dm_unscreened,22.5,12.7,32.3,Proportion,"22.5 (12.7, 32.3)",167,,NA,Haryana,6,Jhajjar
83,dm_undiagnosed,46.7,35.7,57.6,Proportion,"46.7 (35.7, 57.6)",167,,NA,Haryana,6,Jhajjar
84,dm_unscreened,42.8,29.4,56.2,Proportion,"42.8 (29.4, 56.2)",167,,NA,Haryana,6,Mahendragarh
84,dm_undiagnosed,74.8,66.4,83.1,Proportion,"74.8 (66.4, 83.1)",167,,NA,Haryana,6,Mahendragarh
85,dm_unscreened,44,30.8,57.2,Proportion,"44 (30.8, 57.2)",143,,NA,Haryana,6,Rewari
85,dm_undiagnosed,68.9,57.6,80.3,Proportion,"68.9 (57.6, 80.3)",143,,NA,Haryana,6,Rewari
86,dm_unscreened,40.9,27.9,54,Proportion,"40.9 (27.9, 54)",109,,NA,Haryana,6,Gurgaon
86,dm_undiagnosed,65.5,54.2,76.7,Proportion,"65.5 (54.2, 76.7)",109,,NA,Haryana,6,Gurgaon
